"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"K.J. Osborn","MIN","0.7","8.7","0.0","0.0","0.0","0.0","0.0","1.6"
"Dan Chisena","MIN","0.7","8.7","0.0","0.0","0.0","0.0","0.0","1.6"
"Alexander Hollins","CLE","0.7","8.5","0.0","0.0","0.0","0.0","0.0","1.6"
"Ja'Marcus Bradley","CLE","0.7","8.4","0.0","0.0","0.0","0.0","0.0","1.5"
"JoJo Natson","CLE","0.7","8.3","0.0","0.0","0.0","0.0","0.0","1.5"
"Dante Pettis","NYG","0.7","8.4","0.0","0.0","0.0","0.0","0.0","1.5"
"Cody Hollister","TEN","0.7","8.0","0.0","0.0","0.0","0.0","0.0","1.5"
"Ashton Dulin","IND","0.7","8.3","0.0","0.0","0.0","0.0","0.0","1.5"
"River Cracraft","SF","0.7","8.3","0.0","0.0","0.0","0.0","0.0","1.5"
"Fred Brown","TEN","0.7","8.0","0.0","0.0","0.0","0.0","0.0","1.5"
"Justin Hardy","CHI","0.7","8.0","0.0","0.0","0.0","0.0","0.0","1.5"
"Tyrie Cleveland","DEN","0.7","8.0","0.0","0.0","0.0","0.0","0.0","1.5"
"Kevin White","NO","0.7","8.0","0.0","0.0","0.0","0.0","0.0","1.5"
"Ryan Switzer","CLE","0.8","7.1","0.0","0.0","0.0","0.0","0.0","1.5"
"C.J. Board","NYG","0.7","7.7","0.0","0.0","0.0","0.0","0.0","1.5"
"Keith Kirkwood","CAR","0.7","7.6","0.0","0.0","0.0","0.0","0.0","1.4"
"Jordan Matthews","SF","0.7","7.6","0.0","0.0","0.0","0.0","0.0","1.4"
""
""
